original_name,official_name,authority_uri,confidence
Telesphoreo Tangelo,,,NO_MATCH
MinnesotaGoldenGophersFootball,,,NO_MATCH
Apple Inc.,Apple Inc.,http://id.loc.gov/authorities/names/no2019024399,HIGH
Aaron.Schwartz,,,NO_MATCH
Cellabrite,,,NO_MATCH
Myself?,"Myself, 18th century",http://id.loc.gov/authorities/names/nb2012014359,MEDIUM
No records,,,NO_MATCH
JackManifoldTV,,,NO_MATCH
Twitter,Twitter,http://id.loc.gov/authorities/names/n2009031956,MEDIUM
"מוזיאון ישראל/מרכז למורשת אר""ץ",,,NO_MATCH
SF Planning,,,NO_MATCH
Microsoft News,,,NO_MATCH
Vijay Katyal & D.M.Hegde,,,NO_MATCH
Joni Makarroni - MarÃ­a Canelonni,,,NO_MATCH
WE EXIST EVEN DEAD,,,NO_MATCH
Bunjee Jumper,,,NO_MATCH
tonnis,"Tönnis, D. (Dietrich)",http://id.loc.gov/authorities/names/n82110893,MEDIUM
Ottery2100,,,NO_MATCH
hshsh,,,NO_MATCH
ناهید جعفری دهکردی,,,NO_MATCH
Muhammad Kamran Nasar,,,NO_MATCH
Harinder Mahajan PH.D,,,NO_MATCH
Fonts,"Fontsa, Jerry Ismaël",http://id.loc.gov/authorities/names/no2025097001,MEDIUM
investment,"Investment Adviser Regulation, ALI-ABA Course of Study (USE ALI-ABA Course of Study: Investment Adviser Regulation)",http://id.loc.gov/authorities/names/n80093840,MEDIUM
Sanyi Rodríguez Taboada,,,NO_MATCH
JontyMaster,,,NO_MATCH
Шалом Михайлович Тараканов,,,NO_MATCH
guillermo soler,,,NO_MATCH
SV Creation,,,NO_MATCH
Micathon Corp,,,NO_MATCH
